Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Halkias Efthim,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,41,936.2
Fontana Matteo,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,42,940.5
Cărăgui Eugen ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,43,944.2
Campagnoli Gab,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,44,946.3
Chatzimarkos P,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,45,950.7
Blach Roberto ,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,46,956.5
Lefkaditis Sav,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,47,969.7
Galerakis Spir,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,48,974.3
Dolofan Cristi,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,49,977.4
Vassilakis Geo,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,50,993.8
Díaz-Aboitiz M,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,51,1004.9
Panteli C. - T,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,52,1016.6
Kalamaras Teo ,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,53,1035.7
Pyck Filip - D,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,54,1038.8
Parellis Junio,RC5,5,Acropolis 2023,9/2023,Gravel,Wrc,55,1079.5
Šekuljica Slav,RC5,5,Acropolis 2023,9/2023,Gravel,Wrc,56,1146.7
Xanthakos Mari,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,57,1172.4
Plagos Ioannis,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,58,1241.8
Kanellopoulos ,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,59,1253.9
Solberg Oliver,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,60,
Tsouloftas Ale,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,61,1411.8
Philippedes Yo,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,62,1411.8
Creighton Will,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,63,1472.7
Papageorgiou L,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,64,1501.8
Delaportas Gio,RC3,5,Acropolis 2023,9/2023,Gravel,Wrc,65,
Kaltsounis Har,RC4,5,Acropolis 2023,9/2023,Gravel,Wrc,66,1540.5
Tänak Ott - Jä,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,1,1081.4
Ogier Sébastie,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,2,1086.3
Evans Elfyn - ,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,3,1089.6
Neuville Thier,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,4,1090.9
Katsuta Takamo,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,5,1096.1
Rovanperä Kall,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,6,1096.3
Lappi Esapekka,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,7,1097.2
Sordo Dani - C,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,8,1108.3
Gryazin Nikola,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,9,1141.8
Mikkelsen Andr,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,10,1146.6
Bulacia Marco ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,11,1153.6
Virves Robert ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,12,1155.5
Rossel Yohan -,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,13,1155.8
Greensmith Gus,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,14,1156.8
Munster Grégoi,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,15,1158.4
Pajari Sami - ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,16,1161.3
Kajetanowicz K,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,17,1170.1
Joona Lauri - ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,18,1175.0
Athanassoulas ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,19,1175.6
Marczyk Mikoła,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,20,1178.5
Prokop Martin ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,21,1187.6
Villanueva A. ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,22,1194.0
Cachón Alejand,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,23,1198.2
Pellier Lauren,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,24,1214.5
Domínguez Dieg,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,25,1214.6
Kechagias Gior,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,26,1243.4
Kelly Eamonn -,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,27,1244.4
Panagiotis Rou,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,28,1247.3
Fourmaux Adrie,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,29,1249.9
Rensonnet Tom ,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,30,1254.9
Anwar Hamza - ,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,31,1255.1
Karellis C. - ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,32,1259.5
Bruun Sosa Nat,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,33,1262.9
Hoelbling Luca,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,34,1271.3
Serderidis Jou,RC1,6,Acropolis 2023,9/2023,Gravel,Wrc,35,1272.0
Velanis Vassil,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,36,1277.0
Castro Eduardo,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,37,1289.2
Campagnoli Gab,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,38,1297.5
Blach Roberto ,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,39,1300.0
Halkias Efthim,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,40,1305.4
Xanthakos Mari,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,41,1309.7
Fontana Matteo,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,42,1327.7
Lefkaditis Sav,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,43,1331.7
Cărăgui Eugen ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,44,1334.6
Karanikolas E.,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,45,1340.8
Chatzimarkos P,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,46,1349.3
Gill Gaurav - ,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,47,1354.9
Dolofan Cristi,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,48,1366.3
Panteli C. - T,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,49,1383.9
Vassilakis Geo,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,50,1418.0
Pyck Filip - D,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,51,1426.7
Galerakis Spir,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,52,1430.3
Plagos Ioannis,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,53,1467.5
Díaz-Aboitiz M,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,54,1472.4
Parellis Junio,RC5,6,Acropolis 2023,9/2023,Gravel,Wrc,55,1476.1
Kalamaras Teo ,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,56,1496.3
Panteli Petros,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,57,1518.7
Šekuljica Slav,RC5,6,Acropolis 2023,9/2023,Gravel,Wrc,58,1633.9
Solberg Oliver,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,59,
Tsouloftas Ale,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,60,1741.8
Philippedes Yo,RC2,6,Acropolis 2023,9/2023,Gravel,Wrc,61,1741.8
Creighton Will,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,62,1814.5
Papageorgiou L,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,63,1861.1
Kanellopoulos ,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,64,1882.1
Delaportas Gio,RC3,6,Acropolis 2023,9/2023,Gravel,Wrc,65,1889.2
Kaltsounis Har,RC4,6,Acropolis 2023,9/2023,Gravel,Wrc,66,1927.7
